web-scraper-order,web-scraper-start-url,Overall rating,Cuisine,Food rating,Service rating,Value rating,Atmosphere rating,Price range,Review titles,Review text,Awards,Five stars,Four stars,Three stars,Two stars,One star,Number of reviews,Restaurant
1587879293-38939,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,To say that this is my favorite,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38948,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,What else ?,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38957,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"Out of all the 3 Star Michelin restaurants in NYC, I have to say that this was the best. Different set up at the counter where you can see various chefs work together, which I found to be interesting and honest. Food quality in all the top restaurants is top notch. What really separate them really is the slight difference in taste. Chef Table presents each dish with perfect execution which creates incomparable taste. Definitely one of my favorites. Highly recommend people to experience what I went through last night.",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38946,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,Amazing,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38943,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,"I was wrong, ""this time was even better""!",,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38954,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"The 12 course menu of chef Ramirez is the meal I have ever had in NYC and the most expensive one. 
All dishes were exceptional, unique, tasteful and creative and amazingly you don’t feel heavy at the end.
The entrance from the supermarket is cool.",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38952,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"I can't say enough about our 14 course - unblievable - dining experience. There is definitely a reason that this place has a 3 Michelin rating. WOW!!!!! We sat at the counter! Highly recommend the counter. Every dish was different, challenging my senses, and ultimately unforgettable. Huge thank you to the chef for such a wonderful meal!",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38950,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"Coming in here I feel nothing but disappointment. Hate how they make me wear a jacket. They offer you a suit jacket if you don’t have one, but wearing their jacket would have ruined my evening,
If you want to really surprise your date, bring her here. The front door is literally that of a supermarket’s. Not a food market or fancy food court but literally a supermarket where you buy groceries. And not even a fancy supermarket either. Think neighborhood Keyfood. I believe they can easily move if they want from all the money they are making but it seems to me they enjoy this notoriety. While I don’t really care but the fact they made me dress up in a suit jacket and shoes really piss me off so I’m not laughing because the joke’s on me.
There is no waiting room. It’s better to even come late as most ppl do. Coming in early and you just have to stroll around the supermarket like a dope. Their limited seating forbids them to seat you early unless you’re the first group of the evening.
The bar is huge and I would say it’s better to eat at the bar because the tables are just in the peripheries. The main attraction is definitely the bar facing the kitchen. It’s fancy inside but not that fancy that would warrant a suit jacket. They really should consider removing that requirement along with shoes which I don’t like wearing. Why wear shoes when you can wear comfy casual canvas sneakers? I understand athletic sneakers might be too much, but who is looking at our feet when we are dining? The pretentiousness itself is enough to make me really mad and give them a bad review outright.
The drinks are another issue. Only wine. Pretty much there are no cheap drinks here like beer or soda since this is not included in the precharged price so they want to add another $200 to the already $400 cost. Ouch. Juice is cheapest at $10 or just water thru it.
I thought about removing a star or two but in the end, the food was not just amazing but the best I ever eaten ever. Pretty much every dish was a delight. And there were so many. At the end of the night, I was quite full and very happy.

The service can be stuffy at times and the smiles quite fake but they do their jobs. If you can overlook all the earlier grievances that I stated then it’s quite a spectacular meal for the evening.",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38944,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,Awesome food,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38941,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,"Excellent Taste/Flavor, Service could be better",,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38949,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"To say that this is my favorite restaurant in all the world is an understatement. Were I to choose a last supper, this would be it. Chef César Ramirez controls all aspects of your dining experience. His waitstaff is incredibly capable and his ~15-course menu, undeniably perfect. I’ve dined at Chef’s Table, I venture a guess, about 30 times, both at his initial location in Brooklyn and now in Manhattan, both locations consistently over the top superb. Chef has amazing credentials having worked at Danube and Bouley before going solo at Chef’s Table. I have had the good fortune to have dined at many of the worlds best restaurants, Chef’s Table is my (long-standing) favorite, hands down!",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879335-38963,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Their Michelin Star Should Be A Black Hole,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38969,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Great Food But Attitude Needs Adjusting,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38979,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,We loved the small plates here and had a wonderful waitress. But the other staff was really snooty -- both obnoxious when seating us and pressuring us to leave. Expensive dining should feel more relaxing than this.,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38967,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,"Love the Food, Hate the Noise",,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38964,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Unique,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38974,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"Very unique menu, friendly staff and great food.
Always a treat when in NYC, unlike most restaurants in town.
Good for dining with friends/ groups etc.",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38976,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"Was much smaller space than I expected, had heard rave reviews from family and press.Lamb ribs, fried rice, summer squash, beef tartare, etc. All nice and enjoyable, just didn't  amaze me like I had hoped.",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38966,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Small,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38961,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Snack-size food at disrespectful prices,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38975,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,We were recommended to go here otherwise I doubt we would have found it. Amazing dishes particularly the endive salad. Only disappointment the egg and bacon dish.,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38977,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"This was my third trip to this restaurant since it opened about six years ago. The food is still excellent and the noise still deafening. Love all of our dishes, particularly the burrata and ricotta dumplings. The foie gras was good too. The noise, however is so loud that it is unpleasant. Tables are a foot apart so that you can clearly hear your neighbors shouting at each other. A restaurant with such high quality food should do something about the environment in with it is served. It is a disservice to the food.",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38972,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"Great vibe - hip kind of feeling. Service was good and attentive, but relaxed.
Food very good, well priced and a lot of wine options. Can recommend!",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38970,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"This restaurant also fairly often ranks amongst world class restaurants in several lists we gave it a try for lunch/brunch.
The menu is quiet small, which is fine with us cause it seems very fresh and hand made.
Restaurant itself is not very fancy, has a certain hipster style - which we really liked- as you don't feel underdressed coming in normal clothes. In general it could be a bit more spacious, as the tables are very very small.
Service was pleasant - nothing very special for the States though. 
They forgot to serve us the drinks we ordered - but ok - happens everywhere.
Plates are meant to be shared. We shared three dishes. 
All dishes were good beyond any doubt. Nevertheless, we thought that prices are too high for the performance. The handmade pasta was the best dish and recommendable. The lamb was not that good in our opinion. Vert interesting and tasty seasoning, but simply not the best piece of lamb with lots of fat and tissue. 
The starter was good but by no means spectacular- we had lots of better Burrata for less money. 
Again it seems that the ranking of this restaurant mainly comes from it being in New York rather than being world class. 
Try it and judge on your own. 
We would try some other place the next time.",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38968,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Big disappointment.,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38962,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Great vibe - hip kind of feeling.,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38960,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,NY Ratings - interesting,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38965,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,Fabulous food in tucked away gem,,Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38978,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"We got great recommendations for this place and it seems like many people enjoy it. I don't understand why. The food is so very expensive and below average. One of their popular meals is burned rice, no joke, with a few small pieces of seafood. Sorry, don't get it. 
What saved the night was the perfect dessert - in the attached photo. A simple and well made chocolate cake hiding under tones of delicious cream. 
Too bad we couldn't have just that.",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38980,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"This restaurant also fairly often ranks amongst world class restaurants in several lists we gave it a try for lunch/brunch.
The menu is quiet small, which is fine with us cause it seems very fresh and hand made.
Restaurant itself is not very fancy, has...More",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38973,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"This place SUCKS!!!! I am embarrassed for myself that I chose to eat here earlier in the year. It took me so long to write this review as I really wanted to find the right vernacular to share this crappy experience, but once I saw that Michelin was smoking something to give these guys a star, I said screw it...I'll take one for the team and throw eloquence to the wind.

I was meeting a very dear friend after 4 years and chose to dine here thinking that it would be fuss-free and it had great critical reviews, landing on the Best 50 Restaurants in the 51-100 list. I don't know what Pellegrino is thinking either. I have dined all over the world and there are way better restaurants than this place. Nothing wrong with getting the food ordered - our server was pretty good in explaining the menu and how many entrees would be appropriate for the two of us. But once the food started to come out, I don't know what happened. For a Michelin/Best 50 restaurant, GET THE SERVICE RIGHT!!!! No replacement of the small appetizer plates unless we literally called the staff down, no asking of a replenishment of my water and no replacement of cutlery. The food kept coming out in haphazard fashion. We were told that the food would come out as it is prepared - which is fine - but receiving their critically-acclaimed dumplings 20 minutes after we are done eating everything else? Come on! 

As for the food...it's nothing. I don't even remember what I ate, maybe I choose to block it out of my brain. There is way better food out there - you could probably get better odds circling your finger on a map and pointing blind. Shame on the critics for pumping these guys up with undeserving accolades and not giving the spots to someone who actually deserves it.",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879335-38971,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d6413212-Reviews-Estela-New_York_City_New_York.html,4.5,Vegetarian Friendly,45,40,40,40,$$ - $$$,,"I came to Estela per the recommendation of a friend. First, the 'restaurant' (should really be called a 'tapas place') is located at East Houston Street between Mulberry and Mott. It is not at an 'exclusive' location. Prepare to be shocked by the unfair portion to price equation: $17 cocktail, $26 black rice. The cocktail was not balanced (I'm still recovering from a headache) and the black rice was miniscule. If you are going for a meal, plan for a $120 budget, drinks excluded. This is simply disrespectful, especially given the size of everything in the menu. For those of us working in the arts/culture sector, Estela is simply a waste of money. Go for it if you are in the 'bling-bling' mood, but otherwise skip and head to any other decently priced and portioned restaurant. I can recommend Ruby's on Mulberry, a few blocks south, Cafe Gitane or Hakata Tonton in the Village. Avoid collaborating with the 1%.",Certificate of Excellence2016 - 2019 Winner,153,69,35,13,8,382 reviews,Estela
1587879388-38989,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,,"I could spend paragraphs talking about the much hyped caviar dish and the amazing dishes. But I'm just going to share one experience regarding the ice cube...yes you read that right...the ice cube for the cocktails. So you order your drink and the bartender bends down, opens a fridge and takes out a huge square block of ice about the size of your palm. He places it on a huge wooden chopping block that's at least 3 inches thick. With a giant butcher knife, he begins to slice off the corners and edges. After half a dozen or so slices, he has carved what was once a square cube of ice into a diamond cut shape with multiple facets. That was something I've never seen before in my life!",null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38990,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,,"We love fine Japanese cuisine and have eaten at many Japanese restaurants around the world ranging from so-so to excellent, but our evening at Uchu beat them all. It is Michelin starred, and rightfully so. This was a veritable gourmet experience. The restaurant is on a nondescript street in lower Manhattan. It consists of two small, intimate bars -- the eight-seat Kaiseki bar and the ten-seat Omakase Sushi Bar. We dined in the latter and will be forever grateful that we did. The décor is simple, but elegant in the Japanese fashion,
There is champagne with the opening course and after that the diners choose their beverages which range from fine French wines to elegant Japanese sakes. We chose the latter as the perfect accompaniment to our meal. A sommelier and his assistant stand ready at attention to refill one's glass which they do with quiet discretion. 
Reservations are a must. There are two sittings per evening, and Master Chef Eiji Ichimura prepares for everyone at the bar a series of raw and cooked mouthwatering gems of the freshest fishes with decorative, fragrant, and delicious greens and flowers. The flavors, textures, and colors are exquisitely varied.",null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38987,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,,"This is not an evening to be taken lightly. The team at Uchu take their careers very seriously and do all they can to make sure your evening with them is a special one. From the tasting courses to the drink pairings, no detail is too small and no expense is spared.",null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38991,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,,"Overall it's a top Japanese Kaiseki restaurant in NYC. It only serves 8 seats a time, so you need to book early, unless you're fine with its 9pm dining iteration. 
The food is a mixed style of western cuisine and Japanese Kaiseki. Some ingredients are not common in classic Japanese Kaiseki, such as caviar and toast bread. So if you are looking for real traditional and classic Japanese Kaiseki, you will found it's a bit disappointed. Since I've read reviews before I visited, my expectation is that I can taste something both westernized and Japanese. So I like their food.
The drink is also good. They have 3 small cocktails come with the Kaiseki, and I like all of them. They have a great selection of Japanese whisky, too. 
I give 4 stars because I'd like to see more classic Japanese ingredients in the menu.",null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38993,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,,"This is not an evening to be taken lightly. The team at Uchu take their careers very seriously and do all they can to make sure your evening with them is a special one. From the tasting courses to the drink pairings, no detail is...More",null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38983,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,Just look at that Japanese whisky bar!,,null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38992,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,,"I was told of Uchu by a complete stranger. He spoke of the atmosphere but also of the creativity of the people there and the created experience. If you are interested in one of the most unique dining experiences in NYC, try to get a reservation at Uchu.
Six seats, comfortable, well apportioned with a wonderful collection of glasses from Japan. The hosts are gentlemen, perfectionists, and knowledgeable. Chef -a genius.
Enjoy the tasting menu with the pairing. It is worth it -especially since most are not this is again unique.
A few featured items were a Siberian Sturgeon Caviar handroll - amazing. A lovely Aji dish, and an amazing Chilean Black Truffle and Foie Gras",null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38981,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,Ideal evening,,null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38986,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,The uniquest dining experience,,null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38988,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,,"We have enjoyed many kaiseki meals in Japan and the US, but Uchu was definitely one of our very best such dining experiences. The meal is served to guests seated around an eight-seat Japanese whiskey bar, which as adjacent to the better known Uchu sushi bar. The setting is very calm and relaxed and perfect for couples enjoying a special night out. (To avoid delaying your fellow diners, however, it is important to be punctual.) From the moment we arrived and were welcomed with a refreshing, light cocktail, the level of service was outstanding. Given the intimate nature of the bar we were able to discuss the menu and wine pairing in detail with the very knowledgeable sommelier. Our requests that one of us wanted a pescatarian meal and that certain foods were to be avoided were handled perfectly. The meal was truly spectacular. The menu loosely followed the traditional kaiseki format, but with some unusual, and highly successful twists such as the Osetra caviar temaki and the A5 Wagyu sandwich. We enjoyed every one of the 12 courses and felt that the optional wine pairings, a mixture of sakes, European wines and a Japanese whiskey, were well matched to the courses. Uchu Kaiseki Bar has only been in operation for two years or so, but has already been awarded a Michelin star. Based on our experience that rating can only go up.",null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38982,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,"Incredible, contemporary kaiseki experience",,null,5,1,0,0,0,7 reviews,Bar Uchū
1587879388-38985,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12434865-Reviews-Uchu-New_York_City_New_York.html,5,Japanese,50,50,50,null,$$$$,A mixed style of western cuisine and Japanese Kaiseki,,null,5,1,0,0,0,7 reviews,Bar Uchū
