web-scraper-order,web-scraper-start-url,Link,Link-href,Restaurant,Cuisine and Price,Review text,Michelin stars
"1587810095-233","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges","Jean-Georges","68
                                    
                                    -
                                    248
                                    
                                    USD
                                    
                                     • Contemporary","The longevity of Chef Jean-Georges Vongerichten’s flagship restaurant can be attributed to a combination of factors—a sumptuous dining room with a superior location, a discreet atmosphere, as well as its contemporary French cuisine. There is a stirring attention to detail in every course offered here. Dishes showcase everything from seasonal product impeccably treated and thoughtfully garnished, to nuanced flavor combinations. Classical French techniques underpin the cooking, although you’ll come across subtle influences of a more global heritage, including yuzu with sea urchin, or chipotle with shrimp. Desserts are more elaborate and the ingredients come from the luxury end of the counter. Like walking through Business Class on your way to First, you have to pass through the appealingly buzzy Nougatine to get to this restaurant. The low-slung chairs and large tables mean you need a certain confidence in your conversational delivery if you want to entertain the whole table. If you’re here on a date, which many appear to be, you could find yourself sitting side-by-side—the new orthodoxy of dining à deux.","n"
"1587810080-226","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko","Ko","149
                                    
                                    -
                                    225
                                    
                                    USD
                                    
                                     • Contemporary","At this hip dining room, a handsome three-sided counter wrapped around the open kitchen entitles guests to a front row seat and an evening of culinary distinction. Each element just works so well here: from the judicious lighting that makes everything feel more sensual, to the music (never too intrusive but far from anodyne) and the delightful servers who appear ninja-style from nowhere to be at your side when you need something. Completed dishes are handed over by the culinary team, who may have perfected the bad boy/girl looks of the modern urban cook, but speak with unalloyed pride when they describe what you’re about to eat. Flavors are refined yet assured, innovative yet expertly balanced, as in the buttery dry-aged Elysian Fields lamb basted in a fish liver and anchovy sauce. Tarte Tatin is brilliantly reworked with mandarin oranges and goat's milk Gouda shavings to offset the bitterness of the rinds. For those with less time to spare, Ko Bar isn't just a pass-through on the way to the main space. It's an entirely new way to experience the main kitchen's eats. It's also an about-face to Ko's tasting menu, as you can pop in and order à la carte.","n"
"1587810057-216","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera","Atera","149
                                    
                                    -
                                    285
                                    
                                    USD
                                    
                                     • Contemporary","Counter dining can sometimes mean lots of elbows and competitive eaters who enjoy flaunting their food knowledge in front of others. Fortunately, the three-sided counter here at Atera is large enough to ensure you’re sufficiently far from your fellow diners as well as a certain level of privacy while still letting you enjoy the communal, immersive experience. Things are certainly more grown-up and a little less rock-n-roll here than in similarly styled places: there’s barely a tattoo in sight and the soundtrack appears to have been chosen by someone who doesn’t care that much for music. But, it is needed because there can be pauses in conversation when everyone is facing forward. Danish chef Ronny Emborg and his team serve up a nightly menu of around 20 courses, progressing from the light and subtle to the rich and robust. There may be plenty of tweezer action from the chefs as they plate up their beguiling creations, but they know that there’s nowhere to hide when food is this precise and delicate. Dishes also deliver on the promise that their beauty suggests, whether that’s the creamy scallop with crisp celery or the succulent loin of lamb with snap peas.","n"
"1587810016-197","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jeju-noodle-bar","Jeju Noodle Bar","25
                                    
                                    -
                                    51
                                    
                                    USD
                                    
                                     • Korean","Named after the South Korean island that's renowned for its high quality pork, this corner ""bar"" aims to take that nation's comfort food and elevate it to sophisticated heights. As envisioned by Chef/owner Douglas Kim, the kitchen specializes in ramyun—not ramen. The dining space mixes old West Village charm with tidy minimalism for a casual, hip and convivial hangout. Pick your perch at one of the generously spaced tables, or (preferably) at the engaging counter where you can watch each dish come together. If that doesn't have your taste buds tingling, the kitchen's concise number of unique items at a steal of a price will hit the spot. Persian cucumber kimchi with a spicy plum dressing, shiso and sesame seeds is a culinary delight, while the mouthwatering aroma of pork bone broth that precedes the arrival of gochu ramyun brimming with curly noodles, bean sprouts and pickled cabbage is a veritable thesis on ace ingredients. Pyunche salad mingling sushi-grade amberjack dabbed with chimichurri and crunchy vegetables is a simple yet delicious wonder. Not far behind is the surprising toro ssam bap highlighting the eponymous fatty fish with scrambled egg, tobiko and toasted seaweed.","m"
"1587810047-211","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505","L'Atelier de Joël Robuchon","103
                                    
                                    -
                                    235
                                    
                                    USD
                                    
                                     • French","The late, beloved and globally acclaimed chef, Joël Robuchon, returned his L'Atelier to the Big Apple, having traded in a former East Side luxury hotel for this fashionable downtown address. The hip locale is the cherry on top for a fan base, who know just what to expect: excellent cuisine, steep prices and the best pommes purée your palate has ever been privy to. This sleek and sultry space dons an ultra-modern design that features the signature red-and-black color scheme, as well as a pristine open kitchen. Centered around a glossy cherry wood counter, the dining room draws inspiration from those convivial sushi and tapas bars; it also offers an up close and personal view of the cooks in action. As expected, the iconic cuisine is every bit as luxurious as one might imagine. Lavish ingredients like foie gras, truffle and caviar aren't just accents here, but stellar components of many plates. The carte may feel intimidatingly long at times, but the prix-fixe is an easy way to sample sea bass with a fennel broth and sea urchin; or spiced Long Island duck with young turnip and rhubarb confit. The breads are baked by the in-house boulanger, so save room for these gorgeous crumbs.","n"
"1587810005-192","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carbone","Carbone","75
                                    
                                    -
                                    150
                                    
                                    USD
                                    
                                     • Italian","With nostalgia at the forefront, Carbone is plain gorgeous. While this big, bold and beautiful ode to Italian-Americana comes alive at night under the low lights, lunch is equally admired among brash bankers with big appetites and their Valentino-donning divas. That same sense of history pervades the entire space, which highlights plush banquettes, impressive ceramics and glittering chandeliers. Was the striking tiled-floor inspired by a certain restaurant scene in The Godfather? Indeed. Mid-century classics are what this menu is all about, but exalted ingredients, skill and presentations will excite even the most cynical savant. Stylish servers—who work the floor with a little flirt and lot of flair—remain in character while presenting top antipasti like crusty garlic bread, soppressata and fresh, particularly divine olive oil-dunked mozzarella. Spaghetti alla gricia may be simple but dazzles just the same, and chicken scarpariello in a garlicky crumb coating dolls up traditional red-sauce cooking with a chunky stew-like sauce with peppers and mushrooms. Though the prices here are jaw-dropping, all is forgiven after one bite of the drool-worthy, six-layer blackout cake.","m"
"1587810082-227","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern","The Modern","75
                                    
                                    -
                                    150
                                    
                                    USD
                                    
                                     • Contemporary","It goes without saying that The Modern has one of the city’s most prized locations, designed to capture the iconic feel of the MoMA in which it is seamlessly housed. Art enthusiasts have always appreciated its timeless and glorious surrounds; and thanks to an ambitious nip-tuck, they are sure to notice the improved acoustics, which facilitate quiet conversation and match the calm of the view over the sculpture garden. The state-of-the-art kitchen allows the team to grow into its full creative potential—both in the dining room and at the buzzy bar. But for a truly special experience, book the chef's table (complete with a multi-course tasting menu) inside the kitchen. Chef Abram Bissell and crew are wowing these globe-trotting patrons with excellent food and warm, well-timed service. Appealing dishes showcase clean flavors and may include roasted cauliflower with crab butter, almond-cauliflower purée and crabmeat. The juicy milk-fed pork from Québec is enriched with wine and butter for a gloriously decadent treat. Banana bread pudding with Armagnac crème anglaise comes encased in a chocolate cylinder and is topped with banana ice cream for a treat that will leave you with sweet dreams.","n"
"1587810009-194","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill","Blue Hill","95
                                    
                                    -
                                    108
                                    
                                    USD
                                    
                                     • American","Knowing when to leave something alone, whether you’re a painter, singer or cook, requires confidence in your material and your own ability. Here at Blue Hill, Dan Barber’s kitchen displays its utter trust in the products at hand not only by not interfering with them too much but also giving them space in which their natural flavors can shine. This intimate, sophisticated space is as popular as ever and the team clearly shares the chef's passion and pride. The “farm to fork” mantra may be something of a cliché today, but this chef demonstrates that the startlingly obvious equation of great seasonal ingredients equals great food remains the cornerstone of every serious restaurant. A majority of ingredients come from Stone Barns Center in Westchester County and the eponymous farm in Massachusetts. Diners decide between a six-course “Farmer’s Feast” tasting or a four-course “Daily Menu. "" Dishes are described in refreshingly terse terms to reflect the relative simplicity of what’s on the plate, whether that’s parsnip grits with a jammy egg yolk or Montauk black bass with dill purée. Food waste is even transformed into treasure here, as in the juice pulp burger with crisp polenta fries.","m"
"1587810086-229","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel","Daniel","75
                                    
                                    -
                                    150
                                    
                                    USD
                                    
                                     • French","Everyone needs a little pomp and circumstance now and then and, for these grand occasions, there will always be Daniel. This neo-classical citadel of Gallic sophistication will certainly impress your guests—the tables are impeccably dressed and a battalion of immaculately groomed staff runs it. They add some nice touches, like presenting you at the end of dinner with your own printed menu, as well as a box of canelé to take home for your doorman or babysitter. If you’re a two, do express a preference for which type of table you want—sitting side by side instead of opposite each other isn’t for everyone. The main menu comes with a choice of six dishes per course, or you can take the decision-making out of the process altogether and go for the seven-course tasting menu with its wine pairings. The cooking is classically French but not rigidly so. That being said, there are no jarring flavors that can sometimes blight ambitious cooking. This is certainly a kitchen with lots of technical skill: the partridge and quail pithivier with black truffle and spinach is a cleverly layered creation, while the dark chocolate and cranberry bavarois is a construction that recalls the works of M. C. Escher.","n"
"1587810042-209","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/noda","Noda","250
                                    
                                    USD
                                    
                                     • Japanese","Nothing says “authentic sushi” more than an elusive or, in this case, non-existent sign outside. The interior, though, eschews the bare aesthetic of traditional sushi-yas and opts instead for something more flamboyant and theatrical—the space, after all, was once a speakeasy and gambling parlor. There’s even a small bar, which means you don’t have to time your arrival to the dot but can gather first for a cocktail. Chef Shigeyuki Tsunoda undertakes his duties with calm, unhurried efficiency and his omakase—in contrast to the surroundings—is rooted in tradition. Before the Edomae-style nigiri come various snacks that are especially enjoyable when paired with something from their broad range of nihonshu. A seasonal soup and creamy chawanmushi with generous spoonfuls of both Hokkaido uni and Osetra caviar are followed by tender abalone, rich red bonito, succulent scallop, and other mouthfuls of delight. The nigiri is an easy-to-eat size and the rice is body temperature so its flavor really comes through. The exquisite counter seats just eight and its semicircular shape allows you to check out your fellow diners. Everyone is served together and there are two seatings a night.","m"
"1587809974-178","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ai-fiori","Ai Fiori","54
                                    
                                    -
                                    150
                                    
                                    USD
                                    
                                     • Italian","Elegantly accessed by a sweeping staircase (or elevator) in the Langham hotel's lobby, Ai Fiori stands proudly above its Fifth Avenue address. This perfect perch for pretty ladies with their deal-making beaus in tow is dominated by walls of windows and espresso-dark wood. The handsome marble bar and lounge furnished with tufted banquettes sets an ideal scene for a post-work drink; while large florals, leather chairs and square columns lure families into the formal dining room. Service is attentive, the linens are thick, chargers are monogrammed with a goldleaf “F” and every last detail is very, very lovely. As one might expect of a Michael White restaurant, the menu boasts of Italian favorites mingled with contemporary flair. Pastas are masterful, so begin with thin spaghetti tossed in a chunky tomato sauce infused with garlic, scallion, spicy chili and sweet crabmeat. Fish courses can be even more enticing—try the Atlantic halibut crowned with yellow squash and purple radishes or a plate of aromatic bouillabaisse. Desserts too shine through, as seen in the velvety Paris-Brest. Light, frilly and deliciously creamy with choux pastry and hazelnut-praline, it's almost too pretty to eat.","m"
"1587810040-208","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/benno","Benno","45
                                    
                                    -
                                    155
                                    
                                    USD
                                    
                                     • Italian","Acclaimed Chef Jonathan Benno returns to the fine dining scene with this refined spot. Nestled in the Evelyn Hotel, this luxurious space highlights an art deco chandelier suspended under a large glass skylight. The staff glides effortlessly across the mosaic-tiled floor, tending to guests' every whim and fancy. The menu explores the area where Italy and France meet—along the border regions of Liguria and Provence—by way of three- four- or five-course meals. The chef's skill truly shines when he puts his practiced hands to perfect house-made pastas tossed in luxe ingredients, like garganelli verdi or risotto studded with meaty blue foot mushrooms and Piave Vecchio. Seafood is particularly well-executed here, as in the black bass with escargots in a garlic-parsley-and butter sauce, or the raw scallops with pickled and sweet kohlrabi with a hint of heat from mustard oil and a smoky pop from the roe. Strawberry sorbet topped with whipped crème frâiche tastes of childhood summers and cleanses the palate. Then, an exquisite wedge of lemon curd torta topped with toasted pine nuts makes the perfect finish.","m"
"1587810093-232","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/masa","Masa","75
                                    
                                    -
                                    150
                                    
                                    USD
                                    
                                     • Japanese","To taste what may be the continent’s best sushi, experience the quiet, contemplative and very exclusive ceremony of Chef Masa Takayama’s omakase. Everything here carries a certain weight, beginning with the heavy wooden door and carrying through to the bill. The room of course is as unchanging and calming as a river stone, set amid blonde hinoki wood and a gargantuan forsythia tree. Yes, you’ll forget it’s on the fourth floor of a mall. Attention to detail is unsurpassed and at times it may seem like a bit much, but a reverential spirit is part of your meal here. Service displays the same smooth grace, with servers at-the-ready carrying their hot towels, fingerbowls, tea and bits of insight. Awaken the palate with a sweet chunk of hairy crab meat dressed in citrusy yuzu beneath creamy tomalley. This may be followed by the chef’s signature glass coupe of minced toro and a very fine—and very generous—pile of Osetra caviar. Maine uni is downright wondrous, served in its shell with caramelized custard and paper-thin, melting sheets of white truffle. The chef’s selection of sushi is unrivaled; the rice is firm and temperate, garnishes are subtle, and quality of fish is supreme.","o"
"1587810084-228","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin","Le Bernardin","75
                                    
                                    -
                                    150
                                    
                                    USD
                                    
                                     • Seafood","When the definitive history of NYC's dining scene is written, Le Bernardin will have a chapter all to itself. Maguy Le Coze and Eric Ripert’s icon has been entertaining the city’s movers and shakers for over 20 years and its popularity remains undimmed. As soon as you step inside you are enveloped in a warm embrace. Lunch is busy with those who know what they want and trust this well-oiled machine to deliver it in the time they have. Come at dinner for a more languid affair. The menu is divided into headings of “Almost raw,” “Barely touched” and “Lightly cooked,” but don’t be fooled, these product-driven items have considerable depth. Seafood restaurants have no hiding place when it comes to cooking fish or crustaceans and this kitchen always hits its marks—whether that’s poaching halibut, pan-roasting monkfish, baking striped bass or searing tuna. While seafood remains Ripert's passion, his vegetarian tasting menu makes waves with dishes like the Himalayan morel, spring pea and fava bean casserole or the warm artichoke panaché with vegetable risotto and Périgord black truffle vinaigrette. Bid this spread adieu over coconut mousse with shavings of caramelized pineapple.","o"
"1587810099-235","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-inoue","Sushi Inoue","149
                                    
                                    -
                                    400
                                    
                                    USD
                                    
                                     • Japanese","For truly outstanding sushi, head to the heart of Harlem, where Chef Shinichi Inoue presides over this discreet and unexpected temple to Japanese cuisine. Inside the small establishment, bamboo blinds obscuring the scene outside, combined with hushed and genuine hospitality produce a sense of calm and refinement. A majority of the fish utilized by the Nagasaki-born chef is sourced from Japan's Toyosu Market and makes for a stunning display behind the dark counter—arranged with washi placemats and sets of lacquered chopsticks. It is also here where a concise list of omakase options is prepared, but regardless of which you choose, these fillets are bound to impress. Chef Inoue is a third generation sushi master and his striking wood-engraved menu—which hangs above the entrance to the kitchen—is a treasured family heirloom. He personally looks after every detail of your meal, including the pickled ginger placed on your tray as well as the wasabi root that sparks most of the items on offer. This may usher in a host of expertly crafted nigiri, including such highlights as live octopus slices, gizzard shad, torched sea bass with citrus and sea salt, as well as luscious Santa Barbara uni.","m"
